#SampleID	Metaphlan2_Analysis
k__Bacteria	99.96689
k__Archaea	0.03311
k__Bacteria|p__Bacteroidetes	80.80667
k__Bacteria|p__Firmicutes	15.4014
k__Bacteria|p__Actinobacteria	2.46061
k__Bacteria|p__Verrucomicrobia	0.69354
k__Bacteria|p__Proteobacteria	0.60467
k__Archaea|p__Euryarchaeota	0.03311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.80667
k__Bacteria|p__Firmicutes|c__Clostridia	14.35802
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.46061
k__Bacteria|p__Firmicutes|c__Negativicutes	0.89614
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.69354
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.32551
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.24918
k__Bacteria|p__Firmicutes|c__Bacilli	0.14724
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.03311
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.02997
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.80667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	14.35802
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.93167
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.89614
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.69354
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.52047
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.32551
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.24918
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.14724
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.03311
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.01993
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.01004
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	46.87151
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	19.42591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	10.55259
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	9.94146
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.81983
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.71997
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.93167
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.84542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.80844
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.69354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.64564
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.52047
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.32551
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.22537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.13682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.12581
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.12337
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.10643
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.05072
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.04081
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.03311
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.01993
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.01714
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.01004
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.00846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	46.87151
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	19.42591
